epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,3816.94,0.89169,0.77554,1.28857,0.8973,0.86479,0.93275,0.65772,0.98218,0.67148,1.28037,0.0028225,0.0028225,0.0028225
89,3859.89,0.90319,0.78228,1.29274,0.90852,0.86729,0.93549,0.66507,0.97917,0.66766,1.2797,0.00274,0.00274,0.00274
90,3902.77,0.90063,0.78089,1.28788,0.90559,0.86854,0.93495,0.66426,0.97865,0.67027,1.27802,0.0026575,0.0026575,0.0026575
91,3945.23,0.89523,0.77263,1.28907,0.89466,0.87721,0.93622,0.6644,0.97775,0.6682,1.27983,0.002575,0.002575,0.002575
92,3987.67,0.88474,0.76899,1.2832,0.90423,0.87042,0.93562,0.6612,0.96888,0.66753,1.27389,0.0024925,0.0024925,0.0024925
93,4031.55,0.88924,0.76623,1.28327,0.89706,0.88374,0.93495,0.6609,0.97098,0.66888,1.27495,0.00241,0.00241,0.00241
94,4074.65,0.88634,0.76228,1.27984,0.90084,0.87324,0.93395,0.66142,0.97236,0.66939,1.27461,0.0023275,0.0023275,0.0023275
95,4117.41,0.87725,0.76378,1.27308,0.89816,0.87781,0.93466,0.65928,0.97267,0.66955,1.27259,0.002245,0.002245,0.002245
96,4159.76,0.88312,0.75665,1.27869,0.90599,0.86875,0.93322,0.66011,0.97443,0.66554,1.27189,0.0021625,0.0021625,0.0021625
97,4202.23,0.87921,0.75581,1.27727,0.90532,0.87042,0.93404,0.6612,0.97221,0.6602,1.26859,0.00208,0.00208,0.00208
98,4244.66,0.87035,0.74293,1.27066,0.90485,0.86611,0.93207,0.66006,0.97495,0.65967,1.26905,0.0019975,0.0019975,0.0019975
99,4287.2,0.86636,0.73514,1.26948,0.89726,0.877,0.93254,0.66273,0.9764,0.66127,1.26927,0.001915,0.001915,0.001915
100,4329.7,0.86173,0.72488,1.26246,0.90015,0.877,0.93304,0.66315,0.97576,0.65712,1.26995,0.0018325,0.0018325,0.0018325
101,4372.05,0.86135,0.7271,1.26226,0.90648,0.87378,0.93407,0.66413,0.97365,0.65512,1.26839,0.00175,0.00175,0.00175
102,4414.47,0.8566,0.73166,1.26173,0.89675,0.88076,0.93346,0.66502,0.97256,0.65804,1.26867,0.0016675,0.0016675,0.0016675
103,4456.74,0.85994,0.72906,1.25756,0.89692,0.87425,0.93243,0.66558,0.97212,0.65807,1.2686,0.001585,0.001585,0.001585
104,4499.18,0.85049,0.72677,1.25725,0.89663,0.88357,0.93321,0.6654,0.97372,0.65531,1.2702,0.0015025,0.0015025,0.0015025
105,4541.53,0.84496,0.71387,1.25385,0.90015,0.88029,0.93324,0.66671,0.97395,0.65493,1.27005,0.00142,0.00142,0.00142
106,4583.91,0.83468,0.71143,1.24927,0.90434,0.87875,0.93385,0.66792,0.97342,0.65673,1.26963,0.0013375,0.0013375,0.0013375
107,4626.31,0.846,0.70622,1.25297,0.90246,0.87981,0.93458,0.66776,0.97392,0.65372,1.26964,0.001255,0.001255,0.001255
108,4669.04,0.8336,0.70543,1.24554,0.90687,0.87793,0.9342,0.66746,0.97367,0.65383,1.27017,0.0011725,0.0011725,0.0011725
109,4711.44,0.84017,0.70606,1.2491,0.90821,0.877,0.93414,0.66737,0.97609,0.65376,1.27184,0.00109,0.00109,0.00109
110,4753.85,0.83206,0.70491,1.24495,0.90903,0.87256,0.93393,0.66597,0.97493,0.6551,1.27096,0.0010075,0.0010075,0.0010075
111,4797.2,0.89971,0.67385,1.35026,0.9103,0.87669,0.93559,0.66689,0.97368,0.654,1.26946,0.000925,0.000925,0.000925
112,4839.27,0.8666,0.61862,1.31918,0.91237,0.87003,0.93578,0.66794,0.97462,0.65169,1.26958,0.0008425,0.0008425,0.0008425
113,4881.3,0.85436,0.61221,1.30592,0.9122,0.86824,0.9358,0.66801,0.97571,0.65232,1.27017,0.00076,0.00076,0.00076
114,4923.16,0.84317,0.59405,1.30459,0.91566,0.8665,0.93591,0.66749,0.97482,0.65082,1.27081,0.0006775,0.0006775,0.0006775
115,4964.91,0.84147,0.5889,1.30123,0.9185,0.86771,0.93604,0.66839,0.97634,0.64867,1.27257,0.000595,0.000595,0.000595
116,5006.77,0.82969,0.57951,1.28817,0.91543,0.8723,0.93581,0.66983,0.97848,0.64581,1.27493,0.0005125,0.0005125,0.0005125
117,5049.75,0.81825,0.5728,1.28076,0.91573,0.87752,0.93668,0.66837,0.98063,0.6444,1.27712,0.00043,0.00043,0.00043
118,5092.12,0.81773,0.56125,1.28133,0.91467,0.87887,0.9374,0.66828,0.98186,0.64345,1.27874,0.0003475,0.0003475,0.0003475
119,5134,0.8071,0.56234,1.27418,0.91837,0.87682,0.93759,0.66865,0.98342,0.6412,1.28052,0.000265,0.000265,0.000265
120,5175.75,0.81071,0.55778,1.27515,0.91376,0.88541,0.93708,0.66862,0.98313,0.63999,1.28027,0.0001825,0.0001825,0.0001825
