epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,13508.8,1.24313,1.22052,1.45067,0.82991,0.76295,0.85302,0.56134,1.14951,0.92932,1.34336,0.0069805,0.0069805,0.0069805
63,13726.8,1.23467,1.21342,1.45532,0.81893,0.77218,0.84852,0.5629,1.14484,0.92581,1.33577,0.006931,0.006931,0.006931
64,13950.1,1.23807,1.19123,1.45342,0.82051,0.78858,0.85713,0.5676,1.14756,0.91686,1.33695,0.0068815,0.0068815,0.0068815
65,14168.3,1.2276,1.18662,1.4478,0.80866,0.79478,0.85551,0.56544,1.15205,0.90888,1.34239,0.006832,0.006832,0.006832
66,14385.3,1.21826,1.1828,1.44077,0.82483,0.78312,0.85579,0.56865,1.1473,0.90253,1.3374,0.0067825,0.0067825,0.0067825
67,14606.7,1.23338,1.20122,1.44378,0.84197,0.77514,0.86169,0.57354,1.14002,0.89456,1.32954,0.006733,0.006733,0.006733
68,14824.3,1.24161,1.20053,1.44868,0.8328,0.78251,0.85633,0.56967,1.14062,0.90046,1.33086,0.0066835,0.0066835,0.0066835
69,15041.3,1.21436,1.17136,1.4329,0.83888,0.77865,0.85967,0.57211,1.1362,0.89916,1.326,0.006634,0.006634,0.006634
70,15258.4,1.21863,1.18691,1.42891,0.83324,0.78098,0.85951,0.57331,1.12721,0.8943,1.32055,0.0065845,0.0065845,0.0065845
71,15482.7,1.22008,1.19018,1.43764,0.81997,0.79288,0.85815,0.57327,1.1302,0.89692,1.32166,0.006535,0.006535,0.006535
72,15713.4,1.21651,1.17605,1.43268,0.83531,0.77612,0.85686,0.57566,1.1247,0.89383,1.31834,0.0064855,0.0064855,0.0064855
73,15940,1.2192,1.17153,1.43274,0.83541,0.79096,0.85884,0.57497,1.12868,0.89087,1.31873,0.006436,0.006436,0.006436
74,16169,1.21042,1.17098,1.43205,0.82428,0.79412,0.85903,0.57567,1.13097,0.88483,1.3203,0.0063865,0.0063865,0.0063865
75,16394.4,1.21137,1.16842,1.42717,0.83022,0.78238,0.8564,0.5729,1.12933,0.88601,1.31856,0.006337,0.006337,0.006337
76,16612.1,1.20608,1.15403,1.42455,0.81917,0.79451,0.85708,0.57675,1.12601,0.88386,1.3171,0.0062875,0.0062875,0.0062875
77,16830.5,1.21529,1.17394,1.43288,0.82858,0.78695,0.85849,0.57778,1.12438,0.88383,1.31633,0.006238,0.006238,0.006238
78,17048.3,1.19076,1.14647,1.41959,0.83247,0.78286,0.85747,0.57847,1.12151,0.88314,1.31458,0.0061885,0.0061885,0.0061885
79,17266,1.20004,1.15238,1.42545,0.83451,0.7936,0.8613,0.58094,1.12009,0.87856,1.3137,0.006139,0.006139,0.006139
80,17483.2,1.18287,1.14114,1.4152,0.82836,0.79953,0.86344,0.58228,1.11532,0.86961,1.3109,0.0060895,0.0060895,0.0060895
81,17700.7,1.20239,1.13227,1.42183,0.82639,0.80367,0.86619,0.5847,1.11414,0.86479,1.3097,0.00604,0.00604,0.00604
82,17918.5,1.19679,1.14421,1.42189,0.8416,0.7986,0.86865,0.58478,1.10943,0.8615,1.30649,0.0059905,0.0059905,0.0059905
83,18136,1.19926,1.14263,1.42073,0.84802,0.79498,0.87056,0.5873,1.10879,0.86062,1.30563,0.005941,0.005941,0.005941
84,18353.5,1.18952,1.13349,1.41513,0.84697,0.79733,0.87107,0.58787,1.10698,0.85708,1.3045,0.0058915,0.0058915,0.0058915
85,18571.2,1.18558,1.12147,1.41017,0.83415,0.80519,0.86929,0.58891,1.10611,0.85762,1.30221,0.005842,0.005842,0.005842
86,18788.7,1.20007,1.13777,1.42296,0.83301,0.80329,0.86689,0.58891,1.10478,0.85633,1.30184,0.0057925,0.0057925,0.0057925
87,19005.7,1.19047,1.13797,1.41697,0.83337,0.80138,0.86917,0.58926,1.10258,0.85717,1.29989,0.005743,0.005743,0.005743
88,19223.6,1.1821,1.13569,1.4134,0.83542,0.80226,0.86908,0.58907,1.0998,0.85429,1.29822,0.0056935,0.0056935,0.0056935
89,19442.2,1.17732,1.12229,1.40658,0.84296,0.79351,0.86939,0.59196,1.09583,0.85137,1.29611,0.005644,0.005644,0.005644
90,19663.7,1.17126,1.10855,1.4019,0.84158,0.79629,0.87116,0.5916,1.0935,0.84942,1.29359,0.0055945,0.0055945,0.0055945
91,19881.3,1.1725,1.11498,1.40236,0.84617,0.79192,0.87124,0.59353,1.09181,0.84507,1.29216,0.005545,0.005545,0.005545
92,20099,1.17114,1.13155,1.4012,0.84207,0.79268,0.87081,0.59415,1.0905,0.84461,1.2904,0.0054955,0.0054955,0.0054955
93,20322.1,1.17709,1.12007,1.40644,0.83871,0.79269,0.87024,0.59462,1.08904,0.84401,1.28911,0.005446,0.005446,0.005446
94,20540.2,1.16852,1.11272,1.4008,0.84071,0.79397,0.8718,0.59436,1.08761,0.84435,1.2891,0.0053965,0.0053965,0.0053965
95,20757.4,1.16777,1.09724,1.39965,0.84806,0.78788,0.87252,0.59561,1.08553,0.84187,1.28818,0.005347,0.005347,0.005347
96,20975.4,1.17187,1.11016,1.40153,0.84688,0.79263,0.87254,0.595,1.08457,0.83989,1.2873,0.0052975,0.0052975,0.0052975
97,21193,1.1563,1.09042,1.39336,0.84135,0.79815,0.8716,0.59444,1.08417,0.83805,1.2868,0.005248,0.005248,0.005248
98,21410.7,1.15917,1.08597,1.39733,0.84375,0.79882,0.87247,0.5959,1.08355,0.83681,1.28567,0.0051985,0.0051985,0.0051985
99,21628.3,1.15644,1.09304,1.39022,0.83666,0.80181,0.8722,0.59674,1.08258,0.83398,1.28487,0.005149,0.005149,0.005149
100,21846.5,1.16415,1.09557,1.40163,0.83604,0.80407,0.87295,0.59736,1.08151,0.83418,1.28373,0.0050995,0.0050995,0.0050995
101,22064.5,1.17173,1.09718,1.39807,0.84883,0.7934,0.87296,0.59756,1.08034,0.83223,1.28289,0.00505,0.00505,0.00505
102,22285.1,1.16207,1.08736,1.39267,0.84119,0.80093,0.87337,0.59836,1.07994,0.83004,1.28302,0.0050005,0.0050005,0.0050005
103,22505.8,1.16939,1.08968,1.40423,0.84979,0.79624,0.87372,0.59834,1.07885,0.82958,1.28185,0.004951,0.004951,0.004951
104,22724,1.16439,1.08339,1.39773,0.85209,0.7903,0.87362,0.59982,1.07672,0.82874,1.28065,0.0049015,0.0049015,0.0049015
105,22942.3,1.14618,1.07612,1.38819,0.85072,0.79032,0.87389,0.60026,1.07594,0.82709,1.27984,0.004852,0.004852,0.004852
106,23160.3,1.15157,1.08599,1.38924,0.84828,0.79111,0.87472,0.60009,1.07468,0.82742,1.27887,0.0048025,0.0048025,0.0048025
107,23378.2,1.15122,1.0677,1.39129,0.85076,0.79032,0.87378,0.59987,1.07421,0.82629,1.27873,0.004753,0.004753,0.004753
108,23596,1.15693,1.06472,1.38777,0.84145,0.80028,0.87623,0.60093,1.0739,0.82612,1.27896,0.0047035,0.0047035,0.0047035
109,23814.4,1.14542,1.06532,1.37894,0.83926,0.80371,0.87694,0.60099,1.07369,0.82579,1.27903,0.004654,0.004654,0.004654
110,24034.8,1.14537,1.06911,1.38478,0.83726,0.80448,0.87641,0.60037,1.07355,0.8251,1.27864,0.0046045,0.0046045,0.0046045
111,24255.4,1.14701,1.06189,1.38216,0.8392,0.80578,0.87806,0.60089,1.07333,0.82465,1.27835,0.004555,0.004555,0.004555
112,24477.1,1.13016,1.06073,1.37348,0.83979,0.80703,0.87812,0.60157,1.07218,0.82436,1.2774,0.0045055,0.0045055,0.0045055
113,24701.8,1.13203,1.05812,1.3756,0.84117,0.80798,0.87807,0.60152,1.07198,0.82367,1.27707,0.004456,0.004456,0.004456
114,24922.1,1.12862,1.04341,1.37521,0.84012,0.80818,0.87836,0.60197,1.07172,0.82318,1.27706,0.0044065,0.0044065,0.0044065
115,25140.3,1.12906,1.03756,1.36851,0.83754,0.80922,0.87678,0.6017,1.07095,0.82276,1.27661,0.004357,0.004357,0.004357
116,25357.7,1.13406,1.05377,1.37381,0.84072,0.80477,0.8771,0.60217,1.07007,0.82218,1.2759,0.0043075,0.0043075,0.0043075
